Date and Ship To Address	Item Number	Pick Type	Each per pallet	Each per case	Sum of Total quantity requested for order	Pallet Picks	Case Picks	Each Picks
03/07/2022 address 6	514902	SBO	14400	100	6	0	0	6
03/07/2022 address 6	518636	SBO	4000	100	32	0	0	32
03/07/2022 address 6	519111	SBO	40320	2240	48	0	0	48
03/07/2022 address 6	529027	SPN	108	0	1	0	0	1
03/07/2022 address 6	532173	SBO	880	10	1	0	0	1
03/07/2022 address 6	534278	SBO	3000	50	1	0	0	1
03/07/2022 address 6	538341	SLP	20	0	32	1	0	12
03/08/2022 address 7	506608	SBO	11200	100	84	0	0	84
03/08/2022 address 7	508012	SBO	6000	100	8	0	0	8
03/08/2022 address 7	510088	SBO	2560	80	20	0	0	20
03/08/2022 address 7	511171	SRL	360	12	30	0	2	6
03/08/2022 address 7	513473	SBO	4800	200	8	0	0	8
03/08/2022 address 7	514902	SBO	14400	100	8	0	0	8
03/08/2022 address 7	518636	SBO	4000	100	40	0	0	40
03/08/2022 address 7	519111	SBO	40320	2240	64	0	0	64
03/08/2022 address 7	529027	SPN	108	0	1	0	0	1
03/08/2022 address 7	530184	SLP	20	0	44	2	0	4
03/08/2022 address 7	532173	SBO	880	10	1	0	0	1
03/08/2022 address 7	534278	SBO	3000	50	1	0	0	1
03/08/2022 address 5	506608	SBO	11200	100	140	0	1	40
03/08/2022 address 5	508012	SBO	6000	100	13	0	0	13
03/08/2022 address 5	510088	SBO	2560	80	32	0	0	32
03/08/2022 address 5	511171	SRL	360	12	50	0	4	2
03/08/2022 address 5	513473	SBO	4800	200	13	0	0	13
03/08/2022 address 5	514902	SBO	14400	100	13	0	0	13
03/08/2022 address 5	518636	SBO	4000	100	68	0	0	68
03/08/2022 address 5	519111	SBO	40320	2240	104	0	0	104
03/08/2022 address 5	529027	SPN	108	0	2	0	0	2
03/08/2022 address 5	530184	SLP	20	0	73	3	0	13
03/08/2022 address 5	532173	SBO	880	10	2	0	0	2
03/08/2022 address 5	534278	SBO	3000	50	2	0	0	2
03/09/2022 address 8	506608	SBO	11200	100	124	0	1	24
03/09/2022 address 8	508012	SBO	6000	100	12	0	0	12
03/09/2022 address 8	510088	SBO	2560	80	32	0	0	32
03/09/2022 address 8	511171	SRL	360	12	46	0	3	10
03/09/2022 address 8	513473	SBO	4800	200	12	0	0	12
03/09/2022 address 8	514902	SBO	14400	100	12	0	0	12
03/09/2022 address 8	518636	SBO	4000	100	64	0	0	64
03/09/2022 address 8	519111	SBO	40320	2240	96	0	0	96
03/09/2022 address 8	529027	SPN	108	0	3	0	0	3
03/09/2022 address 8	530184	SLP	20	0	26	1	0	6
03/09/2022 address 8	532173	SBO	880	10	3	0	0	3
03/09/2022 address 8	534278	SBO	3000	50	3	0	0	3
03/09/2022 address 8	538342	SLP	20	0	40	2	0	0
03/09/2022 address 3	506608	SBO	11200	100	640	0	6	40
03/09/2022 address 3	508012	SBO	6000	100	58	0	0	58
03/09/2022 address 3	510088	SBO	2560	80	140	0	1	60
03/09/2022 address 3	511171	SRL	360	12	230	0	19	2
03/09/2022 address 3	513473	SBO	4800	200	58	0	0	58
03/09/2022 address 3	514902	SBO	14400	100	58	0	0	58
03/09/2022 address 3	518636	SBO	4000	100	284	0	2	84
03/09/2022 address 3	519111	SBO	40320	2240	464	0	0	464
03/09/2022 address 3	529027	SPN	108	0	17	0	0	17
03/09/2022 address 3	532173	SBO	880	10	17	0	1	7
03/09/2022 address 3	534278	SBO	3000	50	17	0	0	17
03/09/2022 address 3	536202	SLP	23	0	18	0	0	18
03/09/2022 address 3	538341	SLP	20	0	327	16	0	7
03/09/2022 address 1	506608	SBO	11200	100	356	0	3	56
03/09/2022 address 1	508012	SBO	6000	100	19	0	0	19
03/09/2022 address 1	510088	SBO	2560	80	120	0	1	40
03/09/2022 address 1	511171	SRL	360	12	165	0	13	9
03/09/2022 address 1	513473	SBO	4800	200	19	0	0	19
03/09/2022 address 1	514902	SBO	14400	100	19	0	0	19
03/09/2022 address 1	518636	SBO	4000	100	204	0	2	4
03/09/2022 address 1	519111	SBO	40320	2240	352	0	0	352
03/09/2022 address 1	529027	SPN	108	0	15	0	0	15
03/09/2022 address 1	531539	SBO	54000	300	230	0	0	230
03/09/2022 address 1	531766	SBO	864	24	552	0	23	0
03/09/2022 address 1	531967	SFS	230400	300	510	0	1	210
03/09/2022 address 1	532173	SBO	880	10	15	0	1	5
03/09/2022 address 1	534278	SBO	3000	50	15	0	0	15
03/09/2022 address 1	534983	SLB	8	0	2	0	0	2
03/09/2022 address 1	536630	SRL	3	0	1	0	0	1
03/09/2022 address 1	537682	SSN	10	0	1	0	0	1
03/09/2022 address 1	538352	SLP	25	0	11	0	0	11
03/09/2022 address 1	539727	SLP	20	0	170	8	0	10
03/09/2022 address 2	506608	SBO	11200	100	212	0	2	12
03/09/2022 address 2	508012	SBO	6000	100	21	0	0	21
03/09/2022 address 2	510088	SBO	2560	80	68	0	0	68
03/09/2022 address 2	511171	SRL	360	12	78	0	6	6
03/09/2022 address 2	513473	SBO	4800	200	21	0	0	21
03/09/2022 address 2	514902	SBO	14400	100	21	0	0	21
03/09/2022 address 2	518636	SBO	4000	100	112	0	1	12
03/09/2022 address 2	519111	SBO	40320	2240	168	0	0	168
03/09/2022 address 2	529027	SPN	108	0	7	0	0	7
03/09/2022 address 2	530205	SLP	23	0	20	0	0	20
03/09/2022 address 2	532173	SBO	880	10	7	0	0	7
03/09/2022 address 2	534278	SBO	3000	50	7	0	0	7
03/09/2022 address 2	538341	SLP	20	0	93	4	0	13
03/11/2022 address 9	506608	SBO	11200	100	72	0	0	72
03/11/2022 address 9	508012	SBO	6000	100	7	0	0	7
03/11/2022 address 9	510088	SBO	2560	80	16	0	0	16
03/11/2022 address 9	511171	SRL	360	12	26	0	2	2
03/11/2022 address 9	513473	SBO	4800	200	7	0	0	7
03/11/2022 address 9	514902	SBO	14400	100	7	0	0	7
03/11/2022 address 9	518636	SBO	4000	100	36	0	0	36
03/11/2022 address 9	519111	SBO	40320	2240	56	0	0	56
03/11/2022 address 9	529027	SPN	108	0	1	0	0	1
03/11/2022 address 9	530184	SLP	20	0	38	1	0	18
03/11/2022 address 9	532173	SBO	880	10	1	0	0	1
03/11/2022 address 9	534278	SBO	3000	50	1	0	0	1
03/11/2022 address 10	506608	SBO	11200	100	168	0	1	68
03/11/2022 address 10	508012	SBO	6000	100	16	0	0	16
03/11/2022 address 10	510088	SBO	2560	80	44	0	0	44
03/11/2022 address 10	511171	SRL	360	12	62	0	5	2
03/11/2022 address 10	513473	SBO	4800	200	16	0	0	16
03/11/2022 address 10	514902	SBO	14400	100	16	0	0	16
03/11/2022 address 10	518636	SBO	4000	100	80	0	0	80
03/11/2022 address 10	519111	SBO	40320	2240	128	0	0	128
03/11/2022 address 10	529027	SPN	108	0	4	0	0	4
03/11/2022 address 10	532173	SBO	880	10	4	0	0	4
03/11/2022 address 10	534278	SBO	3000	50	4	0	0	4
03/11/2022 address 10	536202	SLP	23	0	24	1	0	1
03/11/2022 address 10	538341	SLP	20	0	65	3	0	5
03/11/2022 address 5	506608	SBO	11200	100	224	0	2	24
03/11/2022 address 5	508012	SBO	6000	100	20	0	0	20
03/11/2022 address 5	510088	SBO	2560	80	48	0	0	48
03/11/2022 address 5	511171	SRL	360	12	80	0	6	8
03/11/2022 address 5	513473	SBO	4800	200	20	0	0	20
03/11/2022 address 5	514902	SBO	14400	100	20	0	0	20
03/11/2022 address 5	518636	SBO	4000	100	96	0	0	96
03/11/2022 address 5	519111	SBO	40320	2240	160	0	0	160
03/11/2022 address 5	529027	SPN	108	0	6	0	0	6
03/11/2022 address 5	532173	SBO	880	10	6	0	0	6
03/11/2022 address 5	534278	SBO	3000	50	6	0	0	6
03/11/2022 address 5	538341	SLP	20	0	120	6	0	0
03/11/2022 address 3	506608	SBO	11200	100	56	0	0	56
03/11/2022 address 3	508012	SBO	6000	100	5	0	0	5
03/11/2022 address 3	510088	SBO	2560	80	12	0	0	12
03/11/2022 address 3	511171	SRL	360	12	20	0	1	8
03/11/2022 address 3	513473	SBO	4800	200	5	0	0	5
03/11/2022 address 3	514902	SBO	14400	100	5	0	0	5
03/11/2022 address 3	518636	SBO	4000	100	24	0	0	24
03/11/2022 address 3	519111	SBO	40320	2240	40	0	0	40
03/11/2022 address 3	529027	SPN	108	0	1	0	0	1
03/11/2022 address 3	530184	SLP	20	0	29	1	0	9
03/11/2022 address 3	532173	SBO	880	10	1	0	0	1
03/11/2022 address 3	534278	SBO	3000	50	1	0	0	1
03/11/2022 address 11	506608	SBO	11200	100	48	0	0	48
03/11/2022 address 11	508012	SBO	6000	100	5	0	0	5
03/11/2022 address 11	510088	SBO	2560	80	12	0	0	12
03/11/2022 address 11	511171	SRL	360	12	18	0	1	6
03/11/2022 address 11	513473	SBO	4800	200	5	0	0	5
